,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
1622,406204_info.csv,Australia,Pakistan,male,2009/10,2010/01/26,Pakistan in Australia ODI Series,Adelaide Oval,,Australia,bat,RJ Harris,SJA Taufel,SD Fry,RJ Tucker,RS Madugalle,Australia,40,,,,,
1623,406205_info.csv,Australia,Pakistan,male,2009/10,2010/01/29,Pakistan in Australia ODI Series,Western Australia Cricket Association Ground,Perth,Australia,bat,RJ Harris,RJ Tucker,MD Martell,PR Reiffel,RS Madugalle,Australia,135,,,,,
1624,406206_info.csv,Australia,Pakistan,male,2009/10,2010/01/31,Pakistan in Australia ODI Series,Western Australia Cricket Association Ground,Perth,Pakistan,bat,CJ McKay,PR Reiffel,MD Martell,RJ Tucker,RS Madugalle,Australia,,2,,,,
1625,410337_info.csv,Zimbabwe,Bangladesh,male,2009,2009/08/09,Bangladesh in Zimbabwe ODI Series,Queens Sports Club,Bulawayo,Bangladesh,field,Mohammad Ashraful,RB Tiffin,T Phiri,KC Barbour,J Srinath,Bangladesh,,8,,,,
1626,410338_info.csv,Zimbabwe,Bangladesh,male,2009,2009/08/11,Bangladesh in Zimbabwe ODI Series,Queens Sports Club,Bulawayo,Zimbabwe,field,Shakib Al Hasan,RB Tiffin,C Phiri,,J Srinath,Bangladesh,49,,,,,
1627,410339_info.csv,Zimbabwe,Bangladesh,male,2009,2009/08/14,Bangladesh in Zimbabwe ODI Series,Queens Sports Club,Bulawayo,Bangladesh,field,E Chigumbura,RB Tiffin,T Phiri,O Chirombe,J Srinath,Zimbabwe,69,,,,,
1628,410340_info.csv,Zimbabwe,Bangladesh,male,2009,2009/08/16,Bangladesh in Zimbabwe ODI Series,Queens Sports Club,Bulawayo,Zimbabwe,bat,Tamim Iqbal,AM Saheba,C Phiri,O Chirombe,J Srinath,Bangladesh,,4,,,,
1629,410341_info.csv,Zimbabwe,Bangladesh,male,2009,2009/08/18,Bangladesh in Zimbabwe ODI Series,Queens Sports Club,Bulawayo,Zimbabwe,bat,Dolar Mahmud,AM Saheba,T Phiri,O Chirombe,J Srinath,Bangladesh,,5,,,,
1630,415162_info.csv,Canada,Kenya,male,2009,2009/08/19,Kenya in Canada ODI Series,Maple Leaf North-West Ground,Toronto,Canada,field,Khurram Chohan,NA Malcolm,AKL Brijcoomar,,DT Jukes,Canada,,9,,,,
1631,415273_info.csv,South Africa,Sri Lanka,male,2009/10,2009/09/22,ICC Champions Trophy,SuperSport Park,Centurion,South Africa,field,TM Dilshan,SJA Taufel,AL Hill,SJ Davis,JJ Crowe,Sri Lanka,55,,,D/L,,
1632,415274_info.csv,Pakistan,West Indies,male,2009/10,2009/09/23,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,West Indies,bat,Umar Akmal,DJ Harper,BF Bowden,SJA Taufel,J Srinath,Pakistan,,5,,,,
1633,415275_info.csv,South Africa,New Zealand,male,2009/10,2009/09/24,ICC Champions Trophy,SuperSport Park,Centurion,South Africa,field,WD Parnell,Asad Rauf,IJ Gould,DJ Harper,RS Mahanama,South Africa,,5,,,,
1634,415276_info.csv,England,Sri Lanka,male,2009/10,2009/09/25,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,England,field,PD Collingwood,BF Bowden,SJA Taufel,AL Hill,J Srinath,England,,6,,,,
1635,415277_info.csv,Australia,West Indies,male,2009/10,2009/09/26,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,West Indies,field,MG Johnson,AL Hill,Aleem Dar,BF Bowden,JJ Crowe,Australia,50,,,,,
1636,415278_info.csv,India,Pakistan,male,2009/10,2009/09/26,ICC Champions Trophy,SuperSport Park,Centurion,Pakistan,bat,Shoaib Malik,SJA Taufel,DJ Harper,IJ Gould,RS Mahanama,Pakistan,54,,,,,
1637,415279_info.csv,New Zealand,Sri Lanka,male,2009/10,2009/09/27,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,Sri Lanka,field,DL Vettori,DJ Harper,SJA Taufel,Aleem Dar,J Srinath,New Zealand,38,,,,,
1638,415280_info.csv,South Africa,England,male,2009/10,2009/09/27,ICC Champions Trophy,SuperSport Park,Centurion,England,bat,OA Shah,AL Hill,Asad Rauf,BF Bowden,RS Mahanama,England,22,,,,,
1639,415281_info.csv,Australia,India,male,2009/10,2009/09/28,ICC Champions Trophy,SuperSport Park,Centurion,Australia,bat,,IJ Gould,AL Hill,Asad Rauf,JJ Crowe,,,,no result,,,
1640,415282_info.csv,England,New Zealand,male,2009/10,2009/09/29,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,New Zealand,field,GD Elliott,DJ Harper,SJ Davis,Aleem Dar,RS Mahanama,New Zealand,,4,,,,
1641,415283_info.csv,Australia,Pakistan,male,2009/10,2009/09/30,ICC Champions Trophy,SuperSport Park,Centurion,Australia,field,MEK Hussey,AL Hill,Asad Rauf,IJ Gould,J Srinath,Australia,,2,,,,
1642,415284_info.csv,India,West Indies,male,2009/10,2009/09/30,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,India,field,V Kohli,SJA Taufel,SJ Davis,DJ Harper,JJ Crowe,India,,7,,,,
1643,415285_info.csv,Australia,England,male,2009/10,2009/10/02,ICC Champions Trophy,SuperSport Park,Centurion,England,bat,SR Watson,BF Bowden,Asad Rauf,AL Hill,JJ Crowe,Australia,,9,,,,
